State,Stab,PUMA,pumaName,cbsa,pctcbsa,CBSAName,CBSAType,pctcbsatype,csa,pctcsa,CSAName,PctUrban,pctnecta,TotPopACS,MedianAge,pctUnder18,pctOver65,pctWhite1,pctBlack1,pctAsian1,pctHispanicPop,TotHHs,MedianHHInc,FamHHs,MedianFamInc,PovUniverse,pctPoor,pctGrpQuarters,pctInCollege,pctBachelorsormore,pctForeignBorn,TotHUs,OccHUs,pctRenterOcc,MedianHValue,MedianGrossRent,ACSYears,TotPop10,Period
"FIPS state" ," " ," " ," " ,"Primary Core Based Stat Area (metro/micro area)" ,"% PUMA in CBSA" ,"Name of CBSA" ,"Primary CBSA type" ,"% PUMA in CBSAtype areas" ,"Consolidated Stat Area" ,"% PUMA in CSA" ,"Name of CSA" ,"% PUMA that is Urban (2010)" ,"% PUMA in NECTA" ,"Total Pop ACS 2013 Single-year Est" ,"Median age in years" ,"% Under 18" ,"% Over65" ,"% White1" ,"% Black1" ,"% Asian1" ,"% Hispanic Pop" ,"Total households" ,"Median household income" ,"Family households" ,"Median family income" ,"Persons for whom poverty status is determined" ,"% Poor" ,"% Group Quarters" ,"% In College" ,"% Bachelors degree or more" ,"% Foreign Born" ,"Total housing units" ,"Occupied housing units" ,"% Renter Occ HUs" ,"Median home value" ,"Median rent" ," " ,"Total Pop 2010 Census" ," "
01,AL,00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",22520,78.8,"Lauderdale County, AL",Metro,78.8,,100.0,,46.7,,"184,544",41.3,21.2,17.9,85.2,11.4,0.6,4.2,"75,696",$41276,"50,681",$50417,181941,17.5,1.5,28.6,15.3,3.2,"86,621","75,696",31.2,106900,$558,2013,186695,1
01,AL,00200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),26620,100.0,"Limestone County, AL",Metro,100.0,290,100.0,"Huntsville-Decatur-Albertville, AL",49.5,,"184,109",37.1,24.6,12.3,77.6,16.5,1.7,6.2,"67,746",$56151,"49,404",$66620,179530,13.4,2.0,21.3,30.1,3.7,"73,263","67,746",21.7,140000,$721,2013,171821,1
01,AL,00301,Huntsville (North) & Madison (East) Cities,26620,100.0,"Limestone County, AL",Metro,100.0,290,100.0,"Huntsville-Decatur-Albertville, AL",98.5,,"123,731",37.2,21.4,11.8,54.3,38.1,4.4,3.8,"49,437",$58681,"31,701",$76887,121130,13.9,2.3,42.3,43.4,8.4,"55,390","49,437",41.1,166200,$809,2013,118924,1
01,AL,00302,Huntsville City (Central & South),26620,100.0,"Limestone County, AL",Metro,100.0,290,100.0,"Huntsville-Decatur-Albertville, AL",99.0,,"107,818",37.9,22.4,15.3,78.1,17.3,1.5,4.9,"44,137",$47823,"25,358",$62108,103325,20.5,4.2,31.4,37.4,5.5,"49,354","44,137",40.2,170700,$677,2013,101522,1
01,AL,00400,DeKalb & Jackson Counties,,57.3,,,57.3,,57.3,,15.5,,"123,964",40.2,22.5,17.1,91.4,2.3,0.6,9.3,"41,178",$37730,"28,848",$47262,122491,15.9,1.2,16.2,12.4,5.8,"55,449","41,178",27.3,104000,$538,2013,124336,1
01,AL,00500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),10700,78.5,"Marshall County, AL",Micro,78.5,290,100.0,"Huntsville-Decatur-Albertville, AL",46.9,,"114,839",40.7,23.7,17.2,93.3,1.8,0.3,10.7,"42,369",$42898,"31,060",$55896,113856,14.8,0.9,15.5,22.1,6.9,"49,572","42,369",24.9,135600,$588,2013,118345,1
01,AL,00600,Morgan & Lawrence Counties--Decatur City,19460,100.0,"Lawrence County, AL",Metro,100.0,290,100.0,"Huntsville-Decatur-Albertville, AL",49.8,,"153,374",39.6,23.0,15.6,81.0,11.9,0.2,6.5,"60,129",$42598,"42,083",$54720,150726,17.5,1.5,14.4,18.9,3.1,"66,307","60,129",26.5,113600,$589,2013,153829,1
01,AL,00700,Cullman & Winston Counties,18980,76.9,"Cullman County, AL",Micro,76.9,142,76.9,"Birmingham-Hoover-Talladega, AL",24.1,,"104,957",41.1,22.0,16.9,96.2,1.9,0.5,3.7,"41,254",$38357,"30,051",$46760,103155,17.2,1.4,21.7,16.4,2.7,"50,451","41,254",25.3,107500,$622,2013,104890,1
01,AL,00800,St. Clair & Blount Counties,13820,100.0,"St. Clair County, AL",Metro,100.0,142,100.0,"Birmingham-Hoover-Talladega, AL",20.3,,"144,180",39.5,23.2,15.1,90.2,6.0,0.7,4.9,"52,536",$49210,"38,351",$56141,141494,15.1,1.7,16.4,14.3,3.0,"59,171","52,536",17.0,123200,$701,2013,140915,1
01,AL,00900,Etowah County,23460,100.0,"Etowah County, AL",Metro,100.0,,100.0,,62.5,,"103,931",40.5,22.1,16.7,81.4,15.8,0.7,3.6,"40,135",$39459,"28,084",$49858,102633,18.9,1.2,22.9,16.2,2.9,"47,302","40,135",28.0,101900,$601,2013,104430,1
01,AL,01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",45180,51.5,"Talladega-Sylacauga, AL",Micro,51.5,142,51.5,"Birmingham-Hoover-Talladega, AL",27.8,,"158,294",42.0,22.0,17.3,,,,2.2,"62,058",$35940,"43,733",$44041,153109,19.0,2.9,19.1,12.8,1.6,"77,980","62,058",25.4,$93000,$542,2013,160097,1
01,AL,01100,Calhoun County,11500,100.0,"Calhoun County, AL",Metro,100.0,,100.0,,66.3,,"116,736",37.6,22.2,15.4,75.2,21.1,1.0,3.5,"43,851",$36205,"28,572",$45486,113722,21.8,2.3,27.2,15.0,2.8,"53,060","43,851",32.9,$92900,$589,2013,118572,1
01,AL,01200,Shelby County,13820,100.0,"St. Clair County, AL",Metro,100.0,142,100.0,"Birmingham-Hoover-Talladega, AL",77.1,,"204,180",38.0,24.9,12.5,82.3,11.8,1.9,6.0,"73,694",$67800,"52,547",$81526,201342,7.7,1.4,24.4,40.3,5.9,"82,476","73,694",21.0,192700,$925,2013,195085,1
